query_id	subject_id	identity	alignment_length	query_start	query_end	query_coverage	subject_coverage	evalue	bit_score
PLMJLKIP_00052	qnrS2_1_DQ485530	100.0	657	1	657	100.0	100.0	0.0	1214.0
PLMJLKIP_00104	tet(A)_4_AJ517790	100.0	1200	1	1200	100.0	100.0	0.0	2217.0
PLMJLKIP_00106	aph(6)-Id_4_CP000971	100.0	831	7	837	99.2831541218638	100.0	0.0	1535.0
PLMJLKIP_00107	aph(3'')-Ib_5_AF321551	100.0	804	1	804	100.0	100.0	0.0	1485.0
PLMJLKIP_00108	sul2_9_FJ197818	100.0	815	1	815	99.87745098039215	95.65727699530517	0.0	1506.0
PLMJLKIP_00699	dfrA17_1_FJ460238	100.0	474	1	474	100.0	100.0	0.0	876.0
PLMJLKIP_00700	aadA5_1_AF137361	100.0	789	1	789	100.0	100.0	0.0	1458.0
PLMJLKIP_00702	sul1_2_U12338	100.0	840	1	840	100.0	100.0	0.0	1552.0
PLMJLKIP_00709	mph(A)_1_D16251	100.0	906	1	906	100.0	100.0	0.0	1674.0
PLMJLKIP_04015	floR_2_AF118107	98.188	1214	1	1214	99.91769547325103	99.91769547325103	0.0	2121.0
