locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLMJLKIP_00001	CDS	129				hypothetical protein
PLMJLKIP_00002	CDS	234				hypothetical protein
PLMJLKIP_00003	CDS	441				hypothetical protein
PLMJLKIP_00004	CDS	474				IS3 family transposase IS1397
PLMJLKIP_00005	CDS	294			COG1662	IS1 family transposase IS1X2
PLMJLKIP_00006	CDS	501				hypothetical protein
PLMJLKIP_00007	rRNA	111				5S ribosomal RNA
PLMJLKIP_00008	tRNA	76				tRNA-Thr(ggt)
PLMJLKIP_00009	rRNA	111				5S ribosomal RNA
PLMJLKIP_00010	CDS	771				hypothetical protein
PLMJLKIP_00011	CDS	705				IS6 family transposase IS15
PLMJLKIP_00012	CDS	480				hypothetical protein
PLMJLKIP_00013	tRNA	76				tRNA-Ala(tgc)
PLMJLKIP_00014	tRNA	77				tRNA-Ile(gat)
PLMJLKIP_00015	CDS	789				hypothetical protein
PLMJLKIP_00016	CDS	306	klcA_1			Antirestriction protein KlcA
PLMJLKIP_00017	CDS	888				IS3 family transposase IS629
PLMJLKIP_00018	rRNA	111				5S ribosomal RNA
PLMJLKIP_00019	CDS	873	era_1			GTPase Era
PLMJLKIP_00020	CDS	747				IS3 family transposase ISEc31
PLMJLKIP_00021	CDS	312				hypothetical protein
PLMJLKIP_00022	CDS	480				hypothetical protein
PLMJLKIP_00023	CDS	345				hypothetical protein
PLMJLKIP_00024	CDS	213				hypothetical protein
PLMJLKIP_00025	CDS	234				hypothetical protein
PLMJLKIP_00026	CDS	762				hypothetical protein
PLMJLKIP_00027	CDS	501				hypothetical protein
PLMJLKIP_00028	CDS	600	ompX_1		COG3637	Outer membrane protein X
PLMJLKIP_00029	CDS	96				hypothetical protein
PLMJLKIP_00030	CDS	330				hypothetical protein
PLMJLKIP_00031	CDS	543				IS3 family transposase IS2
PLMJLKIP_00032	CDS	402				hypothetical protein
PLMJLKIP_00033	CDS	570				hypothetical protein
PLMJLKIP_00034	CDS	201				hypothetical protein
PLMJLKIP_00035	tRNA	76				tRNA-Glu(ttc)
PLMJLKIP_00036	CDS	213	flmC			Protein FlmC
PLMJLKIP_00037	CDS	762				hypothetical protein
PLMJLKIP_00038	CDS	399	psiB_1			Protein PsiB
PLMJLKIP_00039	CDS	174				hypothetical protein
PLMJLKIP_00040	CDS	570	flu_1		COG3468	Antigen 43
PLMJLKIP_00041	CDS	159				hypothetical protein
PLMJLKIP_00042	CDS	312				hypothetical protein
PLMJLKIP_00043	CDS	1326				hypothetical protein
PLMJLKIP_00044	CDS	207				hypothetical protein
PLMJLKIP_00045	CDS	600				hypothetical protein
PLMJLKIP_00046	CDS	537				hypothetical protein
PLMJLKIP_00047	CDS	2379				hypothetical protein
PLMJLKIP_00048	CDS	282				hypothetical protein
PLMJLKIP_00049	CDS	1326				hypothetical protein
PLMJLKIP_00050	CDS	2184				hypothetical protein
PLMJLKIP_00051	CDS	279				hypothetical protein
PLMJLKIP_00052	CDS	657			COG1357	Pentapeptide repeat protein
PLMJLKIP_00053	CDS	567				hypothetical protein
PLMJLKIP_00054	CDS	528	ssb_1			Plasmid-derived single-stranded DNA-binding protein
PLMJLKIP_00055	CDS	234				hypothetical protein
PLMJLKIP_00056	CDS	1275				hypothetical protein
PLMJLKIP_00057	CDS	528	ssb_2			Plasmid-derived single-stranded DNA-binding protein
PLMJLKIP_00058	CDS	234				hypothetical protein
PLMJLKIP_00059	CDS	2421	flu_2		COG3468	Antigen 43
PLMJLKIP_00060	CDS	972	sopB			Protein SopB
PLMJLKIP_00061	CDS	1167				hypothetical protein
PLMJLKIP_00062	CDS	504			COG1662	IS1 family transposase IS1R
PLMJLKIP_00063	CDS	192	rop_1			Regulatory protein rop
PLMJLKIP_00064	CDS	339	mbeC_1			Mobilization protein MbeC
PLMJLKIP_00065	CDS	561				hypothetical protein
PLMJLKIP_00066	CDS	234				hypothetical protein
PLMJLKIP_00067	CDS	840				hypothetical protein
PLMJLKIP_00068	tRNA	76				tRNA-Thr(ggt)
PLMJLKIP_00069	tRNA	75				tRNA-Gly(tcc)
PLMJLKIP_00070	tRNA	85				tRNA-Tyr(gta)
PLMJLKIP_00071	tRNA	76				tRNA-Thr(tgt)
PLMJLKIP_00072	CDS	927	coaA_1	2.7.1.33	COG1072	Pantothenate kinase
PLMJLKIP_00073	CDS	966	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PLMJLKIP_00074	CDS	1029	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
PLMJLKIP_00075	rRNA	111				5S ribosomal RNA
PLMJLKIP_00076	CDS	381				hypothetical protein
PLMJLKIP_00077	CDS	348				hypothetical protein
PLMJLKIP_00078	CDS	1386				IS66 family transposase ISEc8
PLMJLKIP_00079	CDS	1359				hypothetical protein
PLMJLKIP_00080	CDS	210			COG1662	IS1 family transposase IS1F
PLMJLKIP_00081	CDS	303				IS3 family transposase ISSfl10
PLMJLKIP_00082	CDS	819				IS3 family transposase ISSd1
PLMJLKIP_00083	CDS	1998			COG1292	Glycine betaine transporter
PLMJLKIP_00084	CDS	159				hypothetical protein
PLMJLKIP_00085	CDS	414				hypothetical protein
PLMJLKIP_00086	CDS	504				IS3 family transposase ISLad1
PLMJLKIP_00087	CDS	462				hypothetical protein
PLMJLKIP_00088	CDS	201				hypothetical protein
PLMJLKIP_00089	CDS	570	flu_3		COG3468	Antigen 43
PLMJLKIP_00090	CDS	2517				hypothetical protein
PLMJLKIP_00091	CDS	456				hypothetical protein
PLMJLKIP_00092	CDS	276				hypothetical protein
PLMJLKIP_00093	CDS	3927	espC_1	3.4.21.-		Serine protease EspC
PLMJLKIP_00094	CDS	216				IS3 family transposase IS3
PLMJLKIP_00095	CDS	2967				Tn3 family transposase ISPa40
PLMJLKIP_00096	CDS	609	hin		COG1961	DNA-invertase hin
PLMJLKIP_00097	CDS	1218	yjhB			Putative metabolite transport protein YjhB
PLMJLKIP_00098	CDS	1119	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
PLMJLKIP_00099	CDS	126	ythA			putative protein YthA
PLMJLKIP_00100	CDS	351				hypothetical protein
PLMJLKIP_00101	CDS	273				IS3 family transposase IS911
PLMJLKIP_00102	CDS	492				hypothetical protein
PLMJLKIP_00103	CDS	699				hypothetical protein
PLMJLKIP_00104	CDS	1200	tetA			Tetracycline resistance protein, class C
PLMJLKIP_00105	CDS	654	tetR			Tetracycline repressor protein class A from transposon 1721
PLMJLKIP_00106	CDS	837				hypothetical protein
PLMJLKIP_00107	CDS	804	neo	2.7.1.95		Aminoglycoside 3'-phosphotransferase
PLMJLKIP_00108	CDS	816	folP_1	2.5.1.15	COG0294	Dihydropteroate synthase
PLMJLKIP_00109	CDS	261				hypothetical protein
PLMJLKIP_00110	CDS	906				IS3 family transposase IS2
PLMJLKIP_00111	CDS	582				hypothetical protein
PLMJLKIP_00112	CDS	3888	sat	3.4.21.-	COG3468	Serine protease sat autotransporter
PLMJLKIP_00113	CDS	759	iutA_1			Ferric aerobactin receptor
PLMJLKIP_00114	tRNA	76				tRNA-Val(tac)
PLMJLKIP_00115	tRNA	76				tRNA-Lys(ttt)
PLMJLKIP_00116	tRNA	76				tRNA-Val(tac)
PLMJLKIP_00117	CDS	231				hypothetical protein
PLMJLKIP_00118	CDS	564				hypothetical protein
PLMJLKIP_00119	CDS	1362				hypothetical protein
PLMJLKIP_00120	CDS	231				hypothetical protein
PLMJLKIP_00121	CDS	183				hypothetical protein
PLMJLKIP_00122	CDS	372				hypothetical protein
PLMJLKIP_00123	CDS	426	klcA_2			Antirestriction protein KlcA
PLMJLKIP_00124	CDS	972				IS110 family transposase ISEc32
PLMJLKIP_00125	CDS	213				hypothetical protein
PLMJLKIP_00126	CDS	576				hypothetical protein
PLMJLKIP_00127	CDS	339				hypothetical protein
PLMJLKIP_00128	CDS	348				hypothetical protein
PLMJLKIP_00129	CDS	405				hypothetical protein
PLMJLKIP_00130	CDS	819				hypothetical protein
PLMJLKIP_00131	CDS	480	klcA_3			Antirestriction protein KlcA
PLMJLKIP_00132	CDS	504				hypothetical protein
PLMJLKIP_00133	CDS	1077				hypothetical protein
PLMJLKIP_00134	CDS	705			COG2932	putative HTH-type transcriptional regulator
PLMJLKIP_00135	CDS	264				hypothetical protein
PLMJLKIP_00136	CDS	630				hypothetical protein
PLMJLKIP_00137	CDS	339				hypothetical protein
PLMJLKIP_00138	CDS	942				hypothetical protein
PLMJLKIP_00139	CDS	489				hypothetical protein
PLMJLKIP_00140	CDS	327	lexA_1	3.4.21.88		LexA repressor
PLMJLKIP_00141	CDS	522	fecI		COG1595	putative RNA polymerase sigma factor FecI
PLMJLKIP_00142	CDS	954	fecR		COG3712	Protein FecR
PLMJLKIP_00143	CDS	2325	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
PLMJLKIP_00144	CDS	903	fecB		COG4594	Fe(3+) dicitrate-binding periplasmic protein
PLMJLKIP_00145	CDS	999	fecC		COG0609	Fe(3+) dicitrate transport system permease protein FecC
PLMJLKIP_00146	CDS	957	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
PLMJLKIP_00147	CDS	768	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
PLMJLKIP_00148	CDS	258				hypothetical protein
PLMJLKIP_00149	CDS	1194	yciC		COG0523	Putative metal chaperone YciC
PLMJLKIP_00150	CDS	867				ISNCY family transposase ISBcen27
PLMJLKIP_00151	CDS	387				hypothetical protein
PLMJLKIP_00152	CDS	378			COG1662	IS1 family transposase IS1S
PLMJLKIP_00153	CDS	207				hypothetical protein
PLMJLKIP_00154	CDS	1299	kgtP			Alpha-ketoglutarate permease
PLMJLKIP_00155	CDS	273				hypothetical protein
PLMJLKIP_00156	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
PLMJLKIP_00157	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
PLMJLKIP_00158	CDS	699				hypothetical protein
PLMJLKIP_00159	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
PLMJLKIP_00160	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
PLMJLKIP_00161	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
PLMJLKIP_00162	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
PLMJLKIP_00163	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
PLMJLKIP_00164	CDS	159	argP_1			HTH-type transcriptional regulator ArgP
PLMJLKIP_00165	CDS	720	gltR_1		COG0583	HTH-type transcriptional regulator GltR
PLMJLKIP_00166	CDS	294				hypothetical protein
PLMJLKIP_00167	CDS	291				IS481 family transposase ISKpn28
PLMJLKIP_00168	CDS	561				hypothetical protein
PLMJLKIP_00169	CDS	1116	elmGT	2.4.1.331		Elloramycin glycosyltransferase ElmGT
PLMJLKIP_00170	CDS	3660		3.6.3.-		Multidrug efflux ATP-binding/permease protein
PLMJLKIP_00171	CDS	1230	fes_1		COG2382	Enterochelin esterase
PLMJLKIP_00172	CDS	957				hypothetical protein
PLMJLKIP_00173	CDS	2178	pfeA		COG4771	Ferric enterobactin receptor
PLMJLKIP_00174	CDS	1035	aroH_1	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
PLMJLKIP_00175	CDS	348				hypothetical protein
PLMJLKIP_00176	CDS	459				hypothetical protein
PLMJLKIP_00177	CDS	666	dinG	3.1.-.-		3'-5' exonuclease DinG
PLMJLKIP_00178	CDS	225				hypothetical protein
PLMJLKIP_00179	CDS	657				hypothetical protein
PLMJLKIP_00180	CDS	561				hypothetical protein
PLMJLKIP_00181	CDS	615				hypothetical protein
PLMJLKIP_00182	CDS	1086				hypothetical protein
PLMJLKIP_00183	CDS	1554				hypothetical protein
PLMJLKIP_00184	CDS	453				hypothetical protein
PLMJLKIP_00185	CDS	1296				hypothetical protein
PLMJLKIP_00186	CDS	1683				hypothetical protein
PLMJLKIP_00187	CDS	438				hypothetical protein
PLMJLKIP_00188	CDS	1068				hypothetical protein
PLMJLKIP_00189	CDS	594				hypothetical protein
PLMJLKIP_00190	CDS	255				hypothetical protein
PLMJLKIP_00191	CDS	684				hypothetical protein
PLMJLKIP_00192	CDS	534	rfaH_1			Transcription antitermination protein RfaH
PLMJLKIP_00193	CDS	288				hypothetical protein
PLMJLKIP_00194	CDS	1077	repA			Replication initiation protein
PLMJLKIP_00195	CDS	528				hypothetical protein
PLMJLKIP_00196	CDS	2100				hypothetical protein
PLMJLKIP_00197	CDS	213				hypothetical protein
PLMJLKIP_00198	CDS	1509				hypothetical protein
PLMJLKIP_00199	CDS	2028	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
PLMJLKIP_00200	CDS	324				hypothetical protein
PLMJLKIP_00201	CDS	276				hypothetical protein
PLMJLKIP_00202	CDS	591				hypothetical protein
PLMJLKIP_00203	CDS	402				hypothetical protein
PLMJLKIP_00204	CDS	744				hypothetical protein
PLMJLKIP_00205	CDS	387				hypothetical protein
PLMJLKIP_00206	CDS	330				hypothetical protein
PLMJLKIP_00207	CDS	486				hypothetical protein
PLMJLKIP_00208	CDS	192	rop_2			Regulatory protein rop
PLMJLKIP_00209	CDS	339	mbeC_2			Mobilization protein MbeC
PLMJLKIP_00210	CDS	1554	mbeA	5.6.2.1		DNA relaxase MbeA
PLMJLKIP_00211	CDS	1248	banIM	2.1.1.37		Modification methylase BanI
PLMJLKIP_00212	CDS	1011	banIR	3.1.21.4		Type-2 restriction enzyme BanI
PLMJLKIP_00213	CDS	579				hypothetical protein
PLMJLKIP_00214	CDS	276				hypothetical protein
PLMJLKIP_00215	CDS	3990	sepA	3.4.21.-	COG3468	Serine protease SepA autotransporter
PLMJLKIP_00216	CDS	1026				IS66 family transposase ISEc23
PLMJLKIP_00217	CDS	351				hypothetical protein
PLMJLKIP_00218	CDS	426				hypothetical protein
PLMJLKIP_00219	CDS	726	espC_2	3.4.21.-		Serine protease EspC
PLMJLKIP_00220	CDS	642				hypothetical protein
PLMJLKIP_00221	CDS	588				hypothetical protein
PLMJLKIP_00222	CDS	273			COG1662	IS1 family transposase IS1N
PLMJLKIP_00223	CDS	396			COG1662	IS1 family transposase IS1N
PLMJLKIP_00224	CDS	2208	katG_1	1.11.1.21	COG0376	Catalase-peroxidase
PLMJLKIP_00225	CDS	390				hypothetical protein
PLMJLKIP_00226	CDS	168				hypothetical protein
PLMJLKIP_00227	CDS	534				Tn3 family transposase Tn3
